hour,minute,day,month,year,site_id_ttl,irradiance_wm2,rainfall_mm,relative_humidity_pct,sea_level_pressure_hpa,temperature_c,visibility_km,wind_speed_ms,normalized_generation
20,30,1,1,2023,SQ1,17.667,0.0,65.715,1009.61913,15.919,15.981,3.7974,0.0000000000000000000
20,45,1,1,2023,SQ1,17.777,0.0,66.062,1009.73913,16.02,15.981,3.3361,0.0000000000000000000
21,0,1,1,2023,SQ1,17.887,0.0,65.413,1009.70913,15.987,15.981,3.9048,0.0000000000000000000
21,15,1,1,2023,SQ1,17.887,0.0,65.827,1009.78913,16.188,15.981,3.9205,0.0000000000000000000
21,30,1,1,2023,SQ1,18.108,0.0,65.256,1009.76913,16.154,15.981,3.6182,0.0000000000000000000
21,45,1,1,2023,SQ1,18.439,0.0,66.488,1009.75913,16.154,15.981,3.4123,0.0000000000000000000
22,0,1,1,2023,SQ1,17.997,0.0,68.156,1009.80913,16.098,15.981,3.354,0.0000000000000000000
22,15,1,1,2023,SQ1,18.328,0.0,67.081,1009.86913,15.875,15.981,3.822,0.0000000000000000000
22,30,1,1,2023,SQ1,17.887,0.0,68.491,1009.88913,16.009,15.981,2.9062,0.0000000000000000000
22,45,1,1,2023,SQ1,18.328,0.0,66.219,1009.90913,16.166,15.981,4.1556,0.0000000000000000000
23,0,1,1,2023,SQ1,18.549,0.0,65.111,1009.88913,16.087,15.981,4.2228,0.0000000000000000000
23,15,1,1,2023,SQ1,18.659,0.0,67.047,1009.88913,16.043,15.981,3.9004,0.0000000000000000000
23,30,1,1,2023,SQ1,18.328,0.0,68.781,1009.87913,16.03,15.521,3.6965,0.0000000000000000000
23,45,1,1,2023,SQ1,18.439,0.0,70.853,1009.90913,15.997,13.699,4.8721,0.0000000000000000000
0,0,2,1,2023,SQ1,18.218,0.0,72.141,1009.82913,15.651,15.538,3.5511,0.0000000000000000000
0,15,2,1,2023,SQ1,17.445,0.0,73.563,1009.80913,15.404,15.756,2.7988,0.0000000000000000000
0,30,2,1,2023,SQ1,17.887,0.0,73.081,1009.76913,15.628,15.745,3.5108,0.0000000000000000000
0,45,2,1,2023,SQ1,17.887,0.0,73.596,1009.80913,15.561,15.753,4.1422,0.0000000000000000000
1,0,2,1,2023,SQ1,17.999,0.0,73.048,1009.63913,15.651,15.981,3.7481,0.0000000000000000000
1,15,2,1,2023,SQ1,18.33,0.0,73.048,1009.69913,15.718,15.981,3.9048,0.0000000000000000000
1,30,2,1,2023,SQ1,18.33,0.0,72.947,1009.59913,15.584,15.883,4.2116,0.0000000000000000000
1,45,2,1,2023,SQ1,18.55,0.0,71.928,1009.47913,15.684,15.981,4.2317,0.0000000000000000000
2,0,2,1,2023,SQ1,18.992,0.0,69.152,1009.50913,15.695,15.981,4.7355,0.0000000000000000000
2,15,2,1,2023,SQ1,18.55,0.0,70.193,1009.51913,15.987,15.981,3.4391,0.0000000000000000000
2,30,2,1,2023,SQ1,18.991,0.0,72.32,1009.52913,15.819,15.469,3.0495,0.0000000000000000000
2,45,2,1,2023,SQ1,18.771,0.0,73.473,1009.58913,15.483,14.94,1.5942,0.0000000000000000000
3,0,2,1,2023,SQ1,18.66,0.0,74.145,1009.53913,15.707,15.151,2.5077,0.0000000000000000000
3,15,2,1,2023,SQ1,18.991,0.0,73.529,1009.38913,15.617,15.566,3.5623,0.0000000000000000000
3,30,2,1,2023,SQ1,19.433,0.0,71.436,1009.31913,15.707,15.978,2.6689,0.0000000000000000000
3,45,2,1,2023,SQ1,19.213,0.0,72.443,1009.30913,15.819,15.641,4.1601,0.0000000000000000000
4,0,2,1,2023,SQ1,19.323,0.0,73.339,1009.40913,15.528,15.144,3.457,0.0000000000000000000
4,15,2,1,2023,SQ1,19.102,0.0,74.772,1009.26913,15.539,15.001,2.6062,0.0000000000000000000
4,30,2,1,2023,SQ1,19.433,0.0,72.779,1009.34913,15.416,15.823,2.7943,0.0000000000000000000
4,45,2,1,2023,SQ1,18.991,0.0,73.563,1009.31913,15.404,15.241,2.3263,0.0000000000000000000
5,0,2,1,2023,SQ1,19.543,0.0,71.335,1009.36913,15.382,12.918,2.9286,0.0000000000000000000
5,15,2,1,2023,SQ1,19.544,0.0,71.525,1009.31913,15.393,12.361,4.4601,0.0000000000000000000
5,30,2,1,2023,SQ1,19.213,0.0,71.391,1009.24913,15.337,13.098,3.0809,0.0000000000000000000
5,45,2,1,2023,SQ1,19.433,0.0,72.007,1009.26913,15.46,14.128,3.3854,0.0000000000000000000
6,0,2,1,2023,SQ1,19.545,0.0,72.555,1009.39913,15.483,14.486,2.5211,0.0000000000000000000
6,15,2,1,2023,SQ1,19.875,0.0,72.992,1009.49913,15.382,14.929,3.2443,0.0000000000000000000
6,30,2,1,2023,SQ1,19.543,0.0,72.007,1009.56913,15.46,15.663,2.7853,0.0000000000000000000
6,45,2,1,2023,SQ1,19.875,0.0,72.678,1009.61913,15.483,15.981,3.4749,0.0000000000000000000
7,0,2,1,2023,SQ1,19.985,0.0,73.675,1009.63913,15.337,15.981,2.9734,0.0000000000000000000
7,15,2,1,2023,SQ1,25.948,0.0,74.234,1009.57913,15.337,15.981,1.527,0.0017028985507246000
7,30,2,1,2023,SQ1,44.612,0.0,74.044,1009.60913,15.315,15.925,3.1413,0.0097101449275361993
7,45,2,1,2023,SQ1,66.697,0.0,73.395,1009.74913,15.337,15.981,2.4428,0.0236594202898550016
8,0,2,1,2023,SQ1,145.87,0.0,71.492,1009.84913,15.897,15.981,2.4204,0.0477898550724637008
8,15,2,1,2023,SQ1,167.62,0.0,64.819,1009.81913,17.061,15.981,5.452,0.0453260869565216967
8,30,2,1,2023,SQ1,163.96,0.0,63.907,1009.68913,17.213,15.981,3.8776,0.0472101449275362031
8,45,2,1,2023,SQ1,172.79,0.0,62.201,1009.71913,17.22,15.982,3.4565,0.0432608695652172970
9,0,2,1,2023,SQ1,144.84,0.0,63.33,1009.76913,17.162,15.984,3.2997,0.0448550724637681031
9,15,2,1,2023,SQ1,184.36,0.0,63.476,1009.69913,17.04,15.984,1.4663,0.0622826086956521016
9,30,2,1,2023,SQ1,241.1,0.0,61.416,1009.71913,17.532,15.984,4.0026,0.0793115942028985027
9,45,2,1,2023,SQ1,279.73,0.0,60.005,1009.70913,18.158,15.984,2.1714,0.1057608695652173941
10,0,2,1,2023,SQ1,552.83,0.0,54.452,1009.58913,19.589,15.987,4.4166,0.1720289855072462959
10,15,2,1,2023,SQ1,550.69,0.0,48.112,1009.65913,21.62,15.992,4.7362,0.1665942028985507029
10,30,2,1,2023,SQ1,513.99,0.0,47.838,1009.60913,21.579,15.99,3.601,0.1526811594202898137
10,45,2,1,2023,SQ1,531.36,0.0,47.844,1009.65913,21.752,15.99,3.0994,0.1602173913043478115
11,0,2,1,2023,SQ1,487.41,0.0,45.514,1009.56913,22.967,15.993,5.0235,0.1214492753623187954
11,15,2,1,2023,SQ1,426.15,0.0,44.65,1009.42913,23.233,15.992,5.2538,0.1239855072463768026
11,30,2,1,2023,SQ1,423.05,0.0,47.413,1009.29913,22.46,15.992,2.9468,0.1285507246376811075
11,45,2,1,2023,SQ1,359.16,0.0,48.163,1009.02913,22.326,15.992,3.0206,0.1078985507246375958
12,0,2,1,2023,SQ1,390.71,0.0,48.319,1009.03913,22.471,15.991,3.7143,0.1007608695652173064
12,15,2,1,2023,SQ1,371.5,0.0,47.469,1008.92913,22.27,15.989,3.7948,0.1027173913043478021
12,30,2,1,2023,SQ1,363.47,0.0,48.655,1008.90913,22.506,15.988,1.9064,0.1084782608695652045
12,45,2,1,2023,SQ1,356.51,0.0,48.063,1008.87913,22.886,15.988,2.6739,0.1069202898550724035
13,0,2,1,2023,SQ1,358.29,0.0,47.638,1008.80913,23.032,15.989,2.7209,0.1094565217391303968
13,15,2,1,2023,SQ1,361.05,0.0,47.358,1008.72913,23.323,15.988,1.8795,0.1021739130434781984
